,model,throughput,response_length,latency,energy,gpu,task,parameters_count,energy_per_token,dtype,optimization,quantization,cuda-fp16
1252,deepseek-ai/deepseek-llm-67b-base,12.1,256,21.1,6276.0960000000005,NVIDIA A100-SXM4-80GB,chat,67.0,0.00681,float16,,gptq-4bit+exllama-v2,False
1253,KnutJaegersberg/Qwen-1_8B-Llamafied,52.7,256,4.86,1170.4319999999998,NVIDIA A100-SXM4-80GB,chat,8.0,0.0012699999999999,float16,,gptq-4bit+exllama-v2,False
1255,cyberagent/calm2-7b-chat,39.0,256,6.57,1658.88,NVIDIA A100-SXM4-80GB,chat,7.0,0.0018,float16,,gptq-4bit+exllama-v2,False
1256,Kunhao/pile-7b-250b-tokens,36.6,256,6.99,1704.96,NVIDIA A100-SXM4-80GB,chat,7.0,0.00185,float16,,gptq-4bit+exllama-v2,False
1257,itsliupeng/openllama-7b-base,37.9,256,6.75,1603.584,NVIDIA A100-SXM4-80GB,chat,7.0,0.00174,float16,,gptq-4bit+exllama-v2,False
1258,itsliupeng/openllama-7b-icl,39.6,256,6.46,1640.448,NVIDIA A100-SXM4-80GB,chat,7.0,0.00178,float16,,gptq-4bit+exllama-v2,False
1260,facebook/xglm-7.5B,52.8,256,4.85,1299.456,NVIDIA A100-SXM4-80GB,chat,7.5,0.00141,float16,,gptq-4bit+exllama-v2,False
1263,chargoddard/Yi-34B-Llama,19.4,256,13.2,3815.424,NVIDIA A100-SXM4-80GB,chat,34.0,0.00414,float16,,gptq-4bit+exllama-v2,False
1264,chargoddard/llama-2-26b-trenchcoat-stack,16.0,256,16.0,4202.496000000001,NVIDIA A100-SXM4-80GB,chat,26.0,0.00456,float16,,gptq-4bit+exllama-v2,False
1265,bigscience/bloom-7b1,54.0,256,4.74,1253.376,NVIDIA A100-SXM4-80GB,chat,7.0,0.0013599999999999,float16,,gptq-4bit+exllama-v2,False
1272,seungduk/KoSOLAR-10.7B-v0.1,24.6,256,10.4,2700.288,NVIDIA A100-SXM4-80GB,chat,10.7,0.00293,float16,,gptq-4bit+exllama-v2,False
1275,TurkuNLP/gpt3-finnish-13B,41.4,256,6.18,1732.608,NVIDIA A100-SXM4-80GB,chat,13.0,0.00188,float16,,gptq-4bit+exllama-v2,False
1276,rishiraj/CatPPT-base,32.3,256,7.92,1981.44,NVIDIA A100-SXM4-80GB,chat,7.24,0.00215,float16,,gptq-4bit+exllama-v2,False
1279,stabilityai/japanese-stablelm-base-gamma-7b,32.9,256,7.78,1935.36,NVIDIA A100-SXM4-80GB,chat,7.0,0.0021,float16,,gptq-4bit+exllama-v2,False
1280,stabilityai/stablelm-base-alpha-7b,79.3,256,3.23,906.8544,NVIDIA A100-SXM4-80GB,chat,7.0,0.000984,float16,,gptq-4bit+exllama-v2,False
1282,huggyllama/llama-65b,16.1,256,15.9,5087.232,NVIDIA A100-SXM4-80GB,chat,65.0,0.00552,float16,,gptq-4bit+exllama-v2,False
1283,huggyllama/llama-13b,32.1,256,7.98,2119.68,NVIDIA A100-SXM4-80GB,chat,13.0,0.0023,float16,,gptq-4bit+exllama-v2,False
1284,NucleusAI/nucleus-22B-token-500B,31.7,256,8.08,2350.0800000000004,NVIDIA A100-SXM4-80GB,chat,22.0,0.00255,float16,,gptq-4bit+exllama-v2,False
1290,openlm-research/open_llama_7b_v2,39.3,256,6.52,1649.664,NVIDIA A100-SXM4-80GB,chat,7.0,0.00179,float16,,gptq-4bit+exllama-v2,False
1291,openlm-research/open_llama_7b,38.9,256,6.58,1649.664,NVIDIA A100-SXM4-80GB,chat,7.0,0.00179,float16,,gptq-4bit+exllama-v2,False
1292,openlm-research/open_llama_13b,31.4,256,8.16,2138.112,NVIDIA A100-SXM4-80GB,chat,13.0,0.00232,float16,,gptq-4bit+exllama-v2,False
1293,abhinand/tamil-llama-7b-base-v0.1,39.4,256,6.5,1649.664,NVIDIA A100-SXM4-80GB,chat,7.0,0.00179,float16,,gptq-4bit+exllama-v2,False
1294,abhinand/tamil-llama-13b-base-v0.1,32.0,256,8.01,2110.464,NVIDIA A100-SXM4-80GB,chat,13.0,0.00229,float16,,gptq-4bit+exllama-v2,False
1295,golaxy/gowizardlm,38.8,256,6.59,1640.448,NVIDIA A100-SXM4-80GB,chat,7.0,0.00178,float16,,gptq-4bit+exllama-v2,False
1298,togethercomputer/RedPajama-INCITE-7B-Base,40.6,256,6.3,1529.856,NVIDIA A100-SXM4-80GB,chat,7.0,0.00166,float16,,gptq-4bit+exllama-v2,False
1300,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,41.8,256,6.12,1529.856,NVIDIA A100-SXM4-80GB,chat,7.0,0.00166,float16,,gptq-4bit+exllama-v2,False
1301,Devio/test-22B,31.8,256,8.05,2313.216,NVIDIA A100-SXM4-80GB,chat,22.0,0.00251,float16,,gptq-4bit+exllama-v2,False
1302,Delcos/Starling-LM-11B-alpha,20.8,256,12.3,3078.144,NVIDIA A100-SXM4-80GB,chat,11.0,0.00334,float16,,gptq-4bit+exllama-v2,False
1305,upstage/SOLAR-10.7B-v1.0,24.2,256,10.6,2672.6400000000003,NVIDIA A100-SXM4-80GB,chat,10.7,0.0029,float16,,gptq-4bit+exllama-v2,False
1306,huggingface/llama-7b,39.4,256,6.5,1631.232,NVIDIA A100-SXM4-80GB,chat,7.0,0.00177,float16,,gptq-4bit+exllama-v2,False
1307,huggingface/llama-65b,15.6,256,16.4,5151.744,NVIDIA A100-SXM4-80GB,chat,65.0,0.0055899999999999,float16,,gptq-4bit+exllama-v2,False
1308,huggingface/llama-30b,21.3,256,12.0,3548.1600000000003,NVIDIA A100-SXM4-80GB,chat,30.0,0.00385,float16,,gptq-4bit+exllama-v2,False
1309,huggingface/llama-13b,32.2,256,7.96,2174.976,NVIDIA A100-SXM4-80GB,chat,13.0,0.0023599999999999,float16,,gptq-4bit+exllama-v2,False
1312,fblgit/una-llama-7b,39.6,256,6.46,1612.8,NVIDIA A100-SXM4-80GB,chat,7.0,0.00175,float16,,gptq-4bit+exllama-v2,False
1313,codellama/CodeLlama-7b-hf,39.5,256,6.48,1603.584,NVIDIA A100-SXM4-80GB,chat,7.0,0.00174,float16,,gptq-4bit+exllama-v2,False
1314,codellama/CodeLlama-13b-hf,31.7,256,8.07,2138.112,NVIDIA A100-SXM4-80GB,chat,13.0,0.00232,float16,,gptq-4bit+exllama-v2,False
1452,EleutherAI/gpt-neox-20b,23.5,256,10.9,3216.384,NVIDIA A100-SXM4-80GB,chat,20.0,0.00349,float16,,awq-4bit+gemm,False
1457,EleutherAI/pythia-12b,32.9,256,7.79,2221.056,NVIDIA A100-SXM4-80GB,chat,12.0,0.00241,float16,,awq-4bit+gemm,False
1459,EleutherAI/pythia-12b-deduped,33.0,256,7.76,2202.6240000000003,NVIDIA A100-SXM4-80GB,chat,12.0,0.00239,float16,,awq-4bit+gemm,False
1462,EleutherAI/polyglot-ko-12.8b,29.4,256,8.72,2506.752,NVIDIA A100-SXM4-80GB,chat,12.8,0.0027199999999999,float16,,awq-4bit+gemm,False
1478,DevaMalla/llama-base-7b,37.0,256,6.91,1806.336,NVIDIA A100-SXM4-80GB,chat,7.0,0.00196,float16,,awq-4bit+gemm,False
1487,Deci/DeciLM-7B,34.5,256,7.42,1953.792,NVIDIA A100-SXM4-80GB,chat,7.0,0.00212,float16,,awq-4bit+gemm,False
1488,NYTK/PULI-GPTrio,36.7,256,6.98,1870.848,NVIDIA A100-SXM4-80GB,chat,7.67,0.00203,float16,,awq-4bit+gemm,False
1490,TencentARC/LLaMA-Pro-8B,29.2,256,8.77,2285.568,NVIDIA A100-SXM4-80GB,chat,8.0,0.00248,float16,,awq-4bit+gemm,False
1491,meta-llama/Llama-2-7b-hf,36.3,256,7.05,1833.984,NVIDIA A100-SXM4-80GB,chat,7.0,0.00199,float16,,awq-4bit+gemm,False
1492,meta-llama/Llama-2-13b-hf,28.5,256,8.98,2497.536,NVIDIA A100-SXM4-80GB,chat,13.0,0.0027099999999999,float16,,awq-4bit+gemm,False
1493,meta-llama/Llama-2-70b-hf,13.5,256,19.0,6700.031999999999,NVIDIA A100-SXM4-80GB,chat,70.0,0.0072699999999999,float16,,awq-4bit+gemm,False
1496,mistralai/Mistral-7B-v0.1,30.9,256,8.29,2138.112,NVIDIA A100-SXM4-80GB,chat,7.0,0.00232,float16,,awq-4bit+gemm,False
1499,matsuo-lab/weblab-10b,32.7,256,7.84,2165.76,NVIDIA A100-SXM4-80GB,chat,10.0,0.00235,float16,,awq-4bit+gemm,False
1501,augmxnt/shisa-base-7b-v1,29.5,256,8.69,2193.4080000000004,NVIDIA A100-SXM4-80GB,chat,7.0,0.00238,float16,,awq-4bit+gemm,False
1504,AI-Sweden-Models/gpt-sw3-40b,16.5,256,15.5,5326.848,NVIDIA A100-SXM4-80GB,chat,40.0,0.0057799999999999,float16,,awq-4bit+gemm,False
1505,AI-Sweden-Models/gpt-sw3-20b,27.1,256,9.46,3068.928,NVIDIA A100-SXM4-80GB,chat,20.0,0.00333,float16,,awq-4bit+gemm,False
1509,uukuguy/Orca-2-7b-f16,36.5,256,7.01,1861.632,NVIDIA A100-SXM4-80GB,chat,7.0,0.00202,float16,,awq-4bit+gemm,False
1510,01-ai/Yi-34B-200K,17.9,256,14.3,4506.624,NVIDIA A100-SXM4-80GB,chat,34.0,0.0048899999999999,float16,,awq-4bit+gemm,False
1511,01-ai/Yi-34B,17.8,256,14.4,4589.568,NVIDIA A100-SXM4-80GB,chat,34.0,0.00498,float16,,awq-4bit+gemm,False
1514,TheBloke/Llama-2-13B-fp16,28.9,256,8.86,2525.184,NVIDIA A100-SXM4-80GB,chat,13.0,0.00274,float16,,awq-4bit+gemm,False
1515,mosaicml/mpt-30b,33.9,256,7.55,2801.664,NVIDIA A100-SXM4-80GB,chat,30.0,0.00304,float16,,awq-4bit+gemm,False
1516,mosaicml/mpt-7b,55.5,256,4.61,1317.888,NVIDIA A100-SXM4-80GB,chat,7.0,0.00143,float16,,awq-4bit+gemm,False
1518,Salesforce/codegen-16B-nl,24.4,256,10.5,2939.904,NVIDIA A100-SXM4-80GB,chat,16.0,0.00319,float16,,awq-4bit+gemm,False
1521,Writer/palmyra-large,27.2,256,9.42,3022.848,NVIDIA A100-SXM4-80GB,chat,20.0,0.00328,float16,,awq-4bit+gemm,False
1522,sarvamai/OpenHathi-7B-Hi-v0.1-Base,35.4,256,7.23,1935.36,NVIDIA A100-SXM4-80GB,chat,7.0,0.0021,float16,,awq-4bit+gemm,False
1523,deepseek-ai/deepseek-llm-67b-base,11.2,256,22.8,7492.608,NVIDIA A100-SXM4-80GB,chat,67.0,0.00813,float16,,awq-4bit+gemm,False
1524,KnutJaegersberg/Qwen-1_8B-Llamafied,45.8,256,5.59,1345.5359999999998,NVIDIA A100-SXM4-80GB,chat,8.0,0.00146,float16,,awq-4bit+gemm,False
1527,cyberagent/calm2-7b-chat,36.4,256,7.04,1880.064,NVIDIA A100-SXM4-80GB,chat,7.0,0.00204,float16,,awq-4bit+gemm,False
1528,Kunhao/pile-7b-250b-tokens,33.9,256,7.56,1990.656,NVIDIA A100-SXM4-80GB,chat,7.0,0.00216,float16,,awq-4bit+gemm,False
1530,cerebras/Cerebras-GPT-13B,36.8,256,6.96,2193.4080000000004,NVIDIA A100-SXM4-80GB,chat,13.0,0.00238,float16,,awq-4bit+gemm,False
1536,itsliupeng/openllama-7b-base,35.4,256,7.24,1935.36,NVIDIA A100-SXM4-80GB,chat,7.0,0.0021,float16,,awq-4bit+gemm,False
1537,itsliupeng/openllama-7b-icl,36.7,256,6.97,1852.416,NVIDIA A100-SXM4-80GB,chat,7.0,0.0020099999999999,float16,,awq-4bit+gemm,False
1540,tiiuae/falcon-40b,16.1,256,15.9,4967.424,NVIDIA A100-SXM4-80GB,chat,40.0,0.00539,float16,,awq-4bit+gemm,False
1541,facebook/xglm-7.5B,43.2,256,5.93,1668.096,NVIDIA A100-SXM4-80GB,chat,7.5,0.00181,float16,,awq-4bit+gemm,False
1544,chargoddard/Yi-34B-Llama,18.0,256,14.2,4515.84,NVIDIA A100-SXM4-80GB,chat,34.0,0.0049,float16,,awq-4bit+gemm,False
1545,chargoddard/llama-2-26b-trenchcoat-stack,14.7,256,17.4,5022.72,NVIDIA A100-SXM4-80GB,chat,26.0,0.00545,float16,,awq-4bit+gemm,False
1546,bigscience/bloom-7b1,47.4,256,5.4,1529.856,NVIDIA A100-SXM4-80GB,chat,7.0,0.00166,float16,,awq-4bit+gemm,False
1553,seungduk/KoSOLAR-10.7B-v0.1,22.5,256,11.4,3004.416,NVIDIA A100-SXM4-80GB,chat,10.7,0.00326,float16,,awq-4bit+gemm,False
1556,TurkuNLP/gpt3-finnish-13B,36.7,256,6.97,2147.328,NVIDIA A100-SXM4-80GB,chat,13.0,0.00233,float16,,awq-4bit+gemm,False
1557,rishiraj/CatPPT-base,30.2,256,8.47,2156.544,NVIDIA A100-SXM4-80GB,chat,7.24,0.00234,float16,,awq-4bit+gemm,False
1561,stabilityai/japanese-stablelm-base-gamma-7b,30.1,256,8.51,2184.192,NVIDIA A100-SXM4-80GB,chat,7.0,0.00237,float16,,awq-4bit+gemm,False
1562,stabilityai/stablelm-base-alpha-7b,72.1,256,3.55,1096.7040000000002,NVIDIA A100-SXM4-80GB,chat,7.0,0.00119,float16,,awq-4bit+gemm,False
1564,stabilityai/stablelm-base-alpha-7b-v2,38.6,256,6.63,1778.688,NVIDIA A100-SXM4-80GB,chat,7.0,0.00193,float16,,awq-4bit+gemm,False
1566,huggyllama/llama-65b,14.7,256,17.4,6340.608,NVIDIA A100-SXM4-80GB,chat,65.0,0.00688,float16,,awq-4bit+gemm,False
1567,huggyllama/llama-13b,29.0,256,8.82,2488.32,NVIDIA A100-SXM4-80GB,chat,13.0,0.0027,float16,,awq-4bit+gemm,False
1568,NucleusAI/nucleus-22B-token-500B,29.0,256,8.83,2820.096,NVIDIA A100-SXM4-80GB,chat,22.0,0.00306,float16,,awq-4bit+gemm,False
1575,openlm-research/open_llama_7b_v2,36.9,256,6.94,1870.848,NVIDIA A100-SXM4-80GB,chat,7.0,0.00203,float16,,awq-4bit+gemm,False
1576,openlm-research/open_llama_7b,36.7,256,6.97,1843.2,NVIDIA A100-SXM4-80GB,chat,7.0,0.002,float16,,awq-4bit+gemm,False
1577,openlm-research/open_llama_13b,28.8,256,8.89,2534.4,NVIDIA A100-SXM4-80GB,chat,13.0,0.00275,float16,,awq-4bit+gemm,False
1578,abhinand/tamil-llama-7b-base-v0.1,35.0,256,7.31,1861.632,NVIDIA A100-SXM4-80GB,chat,7.0,0.00202,float16,,awq-4bit+gemm,False
1579,abhinand/tamil-llama-13b-base-v0.1,29.4,256,8.72,2506.752,NVIDIA A100-SXM4-80GB,chat,13.0,0.0027199999999999,float16,,awq-4bit+gemm,False
1580,golaxy/gowizardlm,36.4,256,7.03,1870.848,NVIDIA A100-SXM4-80GB,chat,7.0,0.00203,float16,,awq-4bit+gemm,False
1583,togethercomputer/RedPajama-INCITE-7B-Base,36.6,256,7.0,1843.2,NVIDIA A100-SXM4-80GB,chat,7.0,0.002,float16,,awq-4bit+gemm,False
1585,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,37.2,256,6.88,1806.336,NVIDIA A100-SXM4-80GB,chat,7.0,0.00196,float16,,awq-4bit+gemm,False
1586,Devio/test-22B,28.4,256,9.0,2847.744,NVIDIA A100-SXM4-80GB,chat,22.0,0.00309,float16,,awq-4bit+gemm,False
1587,internlm/internlm-20b,15.8,256,16.2,4506.624,NVIDIA A100-SXM4-80GB,chat,20.0,0.0048899999999999,float16,,awq-4bit+gemm,False
1588,Delcos/Starling-LM-11B-alpha,19.7,256,13.0,3382.272,NVIDIA A100-SXM4-80GB,chat,11.0,0.00367,float16,,awq-4bit+gemm,False
1591,upstage/SOLAR-10.7B-v1.0,22.3,256,11.5,2912.256,NVIDIA A100-SXM4-80GB,chat,10.7,0.0031599999999999,float16,,awq-4bit+gemm,False
1592,huggingface/llama-7b,36.1,256,7.09,1898.496,NVIDIA A100-SXM4-80GB,chat,7.0,0.00206,float16,,awq-4bit+gemm,False
1593,huggingface/llama-65b,14.5,256,17.7,6294.528,NVIDIA A100-SXM4-80GB,chat,65.0,0.00683,float16,,awq-4bit+gemm,False
1594,huggingface/llama-30b,19.4,256,13.2,4257.792,NVIDIA A100-SXM4-80GB,chat,30.0,0.00462,float16,,awq-4bit+gemm,False
1595,huggingface/llama-13b,28.5,256,8.97,2534.4,NVIDIA A100-SXM4-80GB,chat,13.0,0.00275,float16,,awq-4bit+gemm,False
1599,fblgit/una-llama-7b,35.8,256,7.15,1833.984,NVIDIA A100-SXM4-80GB,chat,7.0,0.00199,float16,,awq-4bit+gemm,False
1600,codellama/CodeLlama-7b-hf,36.7,256,6.97,1870.848,NVIDIA A100-SXM4-80GB,chat,7.0,0.00203,float16,,awq-4bit+gemm,False
1601,codellama/CodeLlama-13b-hf,29.0,256,8.82,2515.9680000000003,NVIDIA A100-SXM4-80GB,chat,13.0,0.00273,float16,,awq-4bit+gemm,False
1602,codellama/CodeLlama-34b-hf,22.7,256,11.3,3861.504,NVIDIA A100-SXM4-80GB,chat,34.0,0.0041899999999999,float16,,awq-4bit+gemm,False
